param	expType	paramValue	species	type	conc	growthRate	excessProd	numTypes
m	FALSE	2.839081e-4	4	S-species	5.5349799999999995e-56	1.239161	2.586373	1
m	FALSE	2.839081e-4	5	S-species	3.144767e-29	2	2.586373	1
m	FALSE	2.839081e-4	6	S-species	4.847453999999999e-38	1.613319	2.586373	1
m	FALSE	2.839081e-4	7	S-species	1.0247009999999999e-43	1.436066	2.586373	1
m	FALSE	2.839081e-4	8	S-species	1.754836e-7	2.535142	2.586373	1
m	FALSE	2.839081e-4	9	S-species	9.424588e-24	2.132169	2.586373	1
m	FALSE	2.839081e-4	10	S-species	1.444271e-27	2.028718	2.586373	1
m	FALSE	2.988506e-4	1	S-species	1	2.589791	2.586194	1
m	FALSE	2.988506e-4	2	S-species	0	1.685576	2.586194	1
m	FALSE	2.988506e-4	3	S-species	0	2.262087	2.586194	1
m	FALSE	2.988506e-4	4	S-species	0	1.239161	2.586194	1
m	FALSE	2.988506e-4	5	S-species	0	2	2.586194	1
m	FALSE	2.988506e-4	6	S-species	0	1.613319	2.586194	1
m	FALSE	2.988506e-4	7	S-species	0	1.436066	2.586194	1
m	FALSE	2.988506e-4	8	S-species	0	2.535142	2.586194	1
m	FALSE	2.988506e-4	9	S-species	0	2.132169	2.586194	1
m	FALSE	2.988506e-4	10	S-species	0	2.028718	2.586194	1
m	FALSE	3.145796e-4	1	S-species	0.9999998	2.589791	2.586005	1
m	FALSE	3.145796e-4	2	S-species	5.3393579999999996e-39	1.685576	2.586005	1
m	FALSE	3.145796e-4	3	S-species	1.203326e-19	2.262087	2.586005	1
m	FALSE	3.145796e-4	4	S-species	1.749857e-62	1.239161	2.586005	1
m	FALSE	3.145796e-4	5	S-species	1.286265e-28	2	2.586005	1
m	FALSE	3.145796e-4	6	S-species	1.396047e-41	1.613319	2.586005	1
m	FALSE	3.145796e-4	7	S-species	8.708756e-49	1.436066	2.586005	1
m	FALSE	3.145796e-4	8	S-species	1.502627e-7	2.535142	2.586005	1
m	FALSE	3.145796e-4	9	S-species	3.1809499999999998e-24	2.132169	2.586005	1
m	FALSE	3.145796e-4	10	S-species	1.1851229999999998e-27	2.028718	2.586005	1
m	FALSE	3.311364e-4	1	S-species	0.9999999	2.589791	2.585806	1
m	FALSE	3.311364e-4	2	S-species	5.6815339999999994e-39	1.685576	2.585806	1
m	FALSE	3.311364e-4	3	S-species	1.0184619999999999e-19	2.262087	2.585806	1
m	FALSE	3.311364e-4	4	S-species	3.489575e-62	1.239161	2.585806	1
m	FALSE	3.311364e-4	5	S-species	1.205167e-28	2	2.585806	1
m	FALSE	3.311364e-4	6	S-species	1.534835e-41	1.613319	2.585806	1
m	FALSE	3.311364e-4	7	S-species	9.915595e-49	1.436066	2.585806	1
m	FALSE	3.311364e-4	8	S-species	1.165936e-7	2.535142	2.585806	1
m	FALSE	3.311364e-4	9	S-species	2.8280919999999998e-24	2.132169	2.585806	1
m	FALSE	3.311364e-4	10	S-species	1.097131e-27	2.028718	2.585806	1
m	FALSE	3.485646e-4	1	S-species	0.9999999	2.589791	2.585597	1
m	FALSE	3.485646e-4	2	S-species	4.104773e-45	1.685576	2.585597	1
m	FALSE	3.485646e-4	3	S-species	2.5707359999999998e-20	2.262087	2.585597	1
m	FALSE	3.485646e-4	4	S-species	0	1.239161	2.585597	1
m	FALSE	3.485646e-4	5	S-species	1.973824e-30	2	2.585597	1
m	FALSE	3.485646e-4	6	S-species	1.7268939999999995e-51	1.613319	2.585597	1
m	FALSE	3.485646e-4	7	S-species	0	1.436066	2.585597	1
m	FALSE	3.485646e-4	8	S-species	1.133655e-7	2.535142	2.585597	1
m	FALSE	3.485646e-4	9	S-species	2.4275900000000003e-25	2.132169	2.585597	1
m	FALSE	3.485646e-4	10	S-species	2.7446890000000003e-29	2.028718	2.585597	1
m	FALSE	3.669101e-4	1	S-species	0.9999999	2.589791	2.585377	1
m	FALSE	3.669101e-4	2	S-species	8.109979e-39	1.685576	2.585377	1
m	FALSE	3.669101e-4	3	S-species	4.7807199999999995e-20	2.262087	2.585377	1
m	FALSE	3.669101e-4	4	S-species	4.685874e-62	1.239161	2.585377	1
m	FALSE	3.669101e-4	5	S-species	5.134659e-29	2	2.585377	1
m	FALSE	3.669101e-4	6	S-species	3.384485e-41	1.613319	2.585377	1
m	FALSE	3.669101e-4	7	S-species	5.987345e-48	1.436066	2.585377	1
m	FALSE	3.669101e-4	8	S-species	7.758679e-8	2.535142	2.585377	1
m	FALSE	3.669101e-4	9	S-species	1.182126e-24	2.132169	2.585377	1
m	FALSE	3.669101e-4	10	S-species	4.556864e-28	2.028718	2.585377	1
m	FALSE	3.862212e-4	1	S-species	0.9999999	2.589791	2.585146	1
m	FALSE	3.862212e-4	2	S-species	3.933121e-40	1.685576	2.585146	1
m	FALSE	3.862212e-4	3	S-species	1.817486e-20	2.262087	2.585146	1
m	FALSE	3.862212e-4	4	S-species	1.16118e-64	1.239161	2.585146	1
m	FALSE	3.862212e-4	5	S-species	8.298263999999999e-30	2	2.585146	1
m	FALSE	3.862212e-4	6	S-species	1.2154509999999999e-42	1.613319	2.585146	1
m	FALSE	3.862212e-4	7	S-species	8.3519099999999995e-50	1.436066	2.585146	1
m	FALSE	3.862212e-4	8	S-species	9.386172e-8	2.535142	2.585146	1
m	FALSE	3.862212e-4	9	S-species	2.917978e-25	2.132169	2.585146	1
m	FALSE	3.862212e-4	10	S-species	8.108935e-29	2.028718	2.585146	1
m	FALSE	4.065486e-4	1	S-species	0.9999999	2.589791	2.584902	1
m	FALSE	4.065486e-4	2	S-species	4.326103e-39	1.685576	2.584902	1
m	FALSE	4.065486e-4	3	S-species	1.2655049999999999e-20	2.262087	2.584902	1
m	FALSE	4.065486e-4	4	S-species	7.803087e-63	1.239161	2.584902	1
m	FALSE	4.065486e-4	5	S-species	6.465628e-30	2	2.584902	1
m	FALSE	4.065486e-4	6	S-species	1.962739e-41	1.613319	2.584902	1
m	FALSE	4.065486e-4	7	S-species	3.905254e-48	1.436066	2.584902	1
m	FALSE	4.065486e-4	8	S-species	8.528444e-8	2.535142	2.584902	1
m	FALSE	4.065486e-4	9	S-species	1.42044e-25	2.132169	2.584902	1
m	FALSE	4.065486e-4	10	S-species	4.884012e-29	2.028718	2.584902	1
m	FALSE	4.279459e-4	1	S-species	0.9999999	2.589791	2.5846460000000002	1
m	FALSE	4.279459e-4	2	S-species	3.0637979999999996e-39	1.685576	2.5846460000000002	1
m	FALSE	4.279459e-4	3	S-species	1.0893099999999999e-20	2.262087	2.5846460000000002	1
m	FALSE	4.279459e-4	4	S-species	2.2186989999999998e-63	1.239161	2.5846460000000002	1
m	FALSE	4.279459e-4	5	S-species	5.3824669999999995e-30	2	2.5846460000000002	1
m	FALSE	4.279459e-4	6	S-species	1.3793099999999998e-41	1.613319	2.5846460000000002	1
m	FALSE	4.279459e-4	7	S-species	2.773332e-48	1.436066	2.5846460000000002	1
m	FALSE	4.279459e-4	8	S-species	6.742825e-8	2.535142	2.5846460000000002	1
m	FALSE	4.279459e-4	9	S-species	1.3103560000000001e-25	2.132169	2.5846460000000002	1
m	FALSE	4.279459e-4	10	S-species	4.1816580000000003e-29	2.028718	2.5846460000000002	1
m	FALSE	4.504694e-4	1	S-species	1	2.589791	2.584376	1
m	FALSE	4.504694e-4	2	S-species	0	1.685576	2.584376	1
m	FALSE	4.504694e-4	3	S-species	0	2.262087	2.584376	1
m	FALSE	4.504694e-4	4	S-species	0	1.239161	2.584376	1
m	FALSE	4.504694e-4	5	S-species	0	2	2.584376	1
m	FALSE	4.504694e-4	6	S-species	0	1.613319	2.584376	1
m	FALSE	4.504694e-4	7	S-species	0	1.436066	2.584376	1
m	FALSE	4.504694e-4	8	S-species	0	2.535142	2.584376	1
m	FALSE	4.504694e-4	9	S-species	0	2.132169	2.584376	1
m	FALSE	4.504694e-4	10	S-species	0	2.028718	2.584376	1
m	FALSE	4.741783e-4	1	S-species	0.9999999	2.589791	2.584092	1
m	FALSE	4.741783e-4	2	S-species	5.368424e-41	1.685576	2.584092	1
m	FALSE	4.741783e-4	3	S-species	4.786114e-21	2.262087	2.584092	1
m	FALSE	4.741783e-4	4	S-species	1.374281e-66	1.239161	2.584092	1
m	FALSE	4.741783e-4	5	S-species	1.24513e-30	2	2.584092	1
m	FALSE	4.741783e-4	6	S-species	1.4939569999999999e-43	1.613319	2.584092	1
m	FALSE	4.741783e-4	7	S-species	9.668434999999998e-51	1.436066	2.584092	1
m	FALSE	4.741783e-4	8	S-species	5.943569e-8	2.535142	2.584092	1
m	FALSE	4.741783e-4	9	S-species	5.549750999999999e-26	2.132169	2.584092	1
m	FALSE	4.741783e-4	10	S-species	1.257412e-29	2.028718	2.584092	1
m	FALSE	4.99135e-4	1	S-species	1	2.589791	2.583793	1
m	FALSE	4.99135e-4	2	S-species	7.843854e-41	1.685576	2.583793	1
m	FALSE	4.99135e-4	3	S-species	3.316211e-21	2.262087	2.583793	1
m	FALSE	4.99135e-4	4	S-species	4.01159e-65	1.239161	2.583793	1
m	FALSE	4.99135e-4	5	S-species	7.743297999999999e-31	2	2.583793	1
m	FALSE	4.99135e-4	6	S-species	2.6679019999999998e-43	1.613319	2.583793	1
m	FALSE	4.99135e-4	7	S-species	3.1878969999999995e-50	1.436066	2.583793	1
m	FALSE	4.99135e-4	8	S-species	4.29088e-8	2.535142	2.583793	1
m	FALSE	4.99135e-4	9	S-species	3.477635e-26	2.132169	2.583793	1
m	FALSE	4.99135e-4	10	S-species	7.598674e-30	2.028718	2.583793	1
m	FALSE	5.254053e-4	1	S-species	1	2.589791	2.583479	1
m	FALSE	5.254053e-4	2	S-species	0	1.685576	2.583479	1
m	FALSE	5.254053e-4	3	S-species	0	2.262087	2.583479	1
m	FALSE	5.254053e-4	4	S-species	0	1.239161	2.583479	1
m	FALSE	5.254053e-4	5	S-species	0	2	2.583479	1
m	FALSE	5.254053e-4	6	S-species	0	1.613319	2.583479	1
