time	resource	numTypes	assocRate
21528	41.8989	38	93.12642
21529	41.86994	38	93.12192
21530	41.84094	38	93.11742
21531	41.8119	38	93.11292
21532	41.78281	38	93.10842
21533	41.75369	38	93.10392
21534	41.72452	38	93.09942
21535	41.69531	38	93.09492
21536	41.66606	38	93.09042
21537	41.63677	38	93.08592
21538	41.60744	38	93.08142
21539	41.57807	38	93.07692
21540	41.54865	38	93.07242
21541	41.5192	38	93.06792
21542	41.4897	38	93.06342
21543	41.46017	38	93.05892
21544	41.43059	38	93.05442
21545	41.40097	38	93.04992
21546	41.37132	38	93.04542
21547	41.34162	38	93.04092
21548	41.31188	38	93.03642
21549	41.2821	38	93.03192
21550	41.25228	38	93.02742
21551	41.22242	38	93.02292
21552	41.19253	38	93.01842
21553	41.16259	38	93.01392
21554	41.13261	38	93.00942
21555	41.10259	38	93.00492
21556	41.07253	38	93.00042
21557	41.04243	38	92.99593
21558	41.0123	38	92.99143
21559	40.98212	38	92.98693
21560	40.9519	38	92.98243
21561	40.92165	38	92.97793
21562	40.89135	38	92.97343
21563	40.86102	38	92.96893
21564	40.83064	38	92.96443
21565	40.80023	38	92.95993
21566	40.76978	38	92.95543
21567	40.73929	38	92.95093
21568	40.70876	38	92.94643
21569	40.67819	38	92.94193
21570	40.64759	38	92.93743
21571	40.61694	38	92.93293
21572	40.58626	38	92.92843
21573	40.55554	38	92.92393
21574	40.52478	38	92.91943
21575	40.49398	38	92.91493
21576	40.46314	38	92.91043
21577	40.43226	38	92.90593
21578	40.40135	38	92.90143
21579	40.3704	38	92.89693
21580	40.33941	38	92.89243
21581	40.30838	38	92.88793
21582	40.27732	38	92.88343
21583	40.24622	38	92.87893
21584	40.21508	38	92.87443
21585	40.1839	38	92.86993
21586	40.15268	38	92.86543
21587	40.12143	38	92.86093
21588	40.09014	38	92.85643
21589	40.05881	38	92.85193
21590	40.02745	38	92.84743
21591	39.99605	38	92.84293
21592	39.96461	38	92.83843
21593	39.93314	38	92.83393
21594	39.90162	38	92.82943
21595	39.87007	38	92.82493
21596	39.83849	38	92.82043
21597	39.80687	38	92.81593
21598	39.77521	38	92.81143
21599	39.74351	38	92.80693
21600	39.71178	38	92.80243
21601	39.68001	38	92.79793
21602	39.64821	38	92.79343
21603	39.61637	38	92.78893
21604	39.58449	38	92.78443
21605	39.55258	38	92.77993
21606	39.52063	38	92.77543
21607	39.48865	38	92.77093
21608	39.45663	38	92.76643
21609	39.42457	38	92.76193
21610	39.39248	38	92.75743
21611	39.36036	38	92.75293
21612	39.32819	38	92.74843
21613	39.296	38	92.74393
21614	39.26377	38	92.73943
21615	39.2315	38	92.73493
21616	39.19919	38	92.73043
21617	39.16686	38	92.72593
21618	39.13448	38	92.72143
21619	39.10208	38	92.71693
21620	39.06963	38	92.71243
21621	39.03716	38	92.70793
21622	39.00465	38	92.70343
21623	38.9721	38	92.69893
21624	38.93952	38	92.69443
21625	38.9069	38	92.68993
21626	38.87425	38	92.68543
21627	38.84157	38	92.68093
21628	38.80885	38	92.67643
21629	38.7761	38	92.67193
21630	38.74331	38	92.66743
21631	38.71049	38	92.66293
21632	38.67764	38	92.65843
21633	38.64475	38	92.65393
21634	38.61183	38	92.64943
21635	38.57888	38	92.64493
21636	38.54589	38	92.64043
21637	38.51287	38	92.63593
21638	38.47981	38	92.63143
21639	38.44672	38	92.62693
21640	38.4136	38	92.62243
21641	38.38045	38	92.61793
21642	38.34726	38	92.61343
21643	38.31404	38	92.60893
21644	38.28079	38	92.60443
21645	38.2475	38	92.59994
21646	38.21418	38	92.59544
21647	38.18083	38	92.59094
21648	38.14745	38	92.58644
21649	38.11403	38	92.58194
21650	38.08058	38	92.57744
21651	38.0471	38	92.57294
21652	38.01359	38	92.56844
21653	37.98004	38	92.56394
21654	37.94647	38	92.55944
21655	37.91286	38	92.55494
21656	37.87921	38	92.55044
21657	37.84554	38	92.54594
21658	37.81184	38	92.54144
21659	37.7781	38	92.53694
21660	37.74433	38	92.53244
21661	37.71053	38	92.52794
21662	37.6767	38	92.52344
21663	37.64284	38	92.51894
21664	37.60895	38	92.51444
21665	37.57503	38	92.50994
21666	37.54107	38	92.50544
21667	37.50708	38	92.50094
21668	37.47307	38	92.49644
21669	37.43902	38	92.49194
21670	37.40494	38	92.48744
21671	37.37083	38	92.48294
21672	37.33669	38	92.47844
21673	37.30252	38	92.47394
21674	37.26832	38	92.46944
21675	37.23409	38	92.46494
21676	37.19983	38	92.46044
21677	37.16554	38	92.45594
21678	37.13122	38	92.45144
21679	37.09687	38	92.44694
21680	37.06249	38	92.44244
21681	37.02808	38	92.43794
21682	36.99364	38	92.43344
21683	36.95917	38	92.42894
21684	36.92467	38	92.42444
21685	36.89014	38	92.41994
21686	36.85558	38	92.41544
21687	36.821	38	92.41094
21688	36.78638	38	92.40644
21689	36.75173	38	92.40194
21690	36.71706	38	92.39744
21691	36.68236	38	92.39294
21692	36.64762	38	92.38844
21693	36.61286	38	92.38394
21694	36.57807	38	92.37944
21695	36.54326	38	92.37494
21696	36.50841	38	92.37044
21697	36.47353	38	92.36594
21698	36.43863	38	92.36144
21699	36.4037	38	92.35694
21700	36.36874	38	92.35244
21701	36.33375	38	92.34794
21702	36.29874	38	92.34344
21703	36.26369	38	92.33894
21704	36.22862	38	92.33444
21705	36.19352	38	92.32994
21706	36.1584	38	92.32544
21707	36.12324	38	92.32094
21708	36.08806	38	92.31644
21709	36.05285	38	92.31194
21710	36.01762	38	92.30744
21711	35.98235	38	92.30294
21712	35.94706	38	92.29844
21713	35.91174	38	92.29394
21714	35.8764	38	92.28944
21715	35.84103	38	92.28494
21716	35.80563	38	92.28044
21717	35.77021	38	92.27594
21718	35.73475	38	92.27144
21719	35.69928	38	92.26694
21720	35.66377	38	92.26244
21721	35.62824	38	92.25794
21722	35.59268	38	92.25344
21723	35.5571	38	92.24894
21724	35.52149	38	92.24444
21725	35.48586	38	92.23994
21726	35.4502	38	92.23544
21727	35.41451	38	92.23094
21728	35.3788	38	92.22644
21729	35.34306	38	92.22194
21730	35.3073	38	92.21744
21731	35.27151	38	92.21294
21732	35.2357	38	92.20844
21733	35.19986	38	92.20394
21734	35.16399	38	92.19945
21735	35.1281	38	92.19495
21736	35.09219	38	92.19045
21737	35.05625	38	92.18595
21738	35.02028	38	92.18145
21739	34.98429	38	92.17695
21740	34.94828	38	92.17245
21741	34.91224	38	92.16795
21742	34.87618	38	92.16345
21743	34.840089999999996	38	92.15895
21744	34.80398	38	92.15445
21745	34.76785	38	92.14995
21746	34.73169	38	92.14545
21747	34.6955	38	92.14095
21748	34.6593	38	92.13645
21749	34.62306	38	92.13195
21750	34.58681	38	92.12745
21751	34.55053	38	92.12295
21752	34.51423	38	92.11845
21753	34.4779	38	92.11395
21754	34.44155	38	92.10945
21755	34.40518	38	92.10495
21756	34.36879	38	92.10045
21757	34.33237	38	92.09595
21758	34.29592	38	92.09145
21759	34.25946	38	92.08695
21760	34.22297	38	92.08245
21761	34.18646	38	92.07795
21762	34.14993	38	92.07345
21763	34.11337	38	92.06895
21764	34.0768	38	92.06445
21765	34.0402	38	92.05995
21766	34.00357	38	92.05545
21767	33.96693	38	92.05095
21768	33.93026	38	92.04645
21769	33.89357	38	92.04195
21770	33.85686	38	92.03745
21771	33.82013	38	92.03295
21772	33.78337	38	92.02845
21773	33.7466	38	92.02395
21774	33.7098	38	92.01945
21775	33.67298	38	92.01495
21776	33.63614	38	92.01045
21777	33.59928	38	92.00595
21778	33.56239	38	92.00145
21779	33.52549	38	91.99695
21780	33.48856	38	91.99245
21781	33.45162	38	91.98795
21782	33.41465	38	91.98345
21783	33.37766	38	91.97895
21784	33.34065	38	91.97445
21785	33.30362	38	91.96995
21786	33.26657	38	91.96545
21787	33.2295	38	91.96095
21788	33.19241	38	91.95645
21789	33.1553	38	91.95195
21790	33.11817	38	91.94745
21791	33.08102	38	91.94295
21792	33.04385	38	91.93845
21793	33.00666	38	91.93395
21794	32.96945	38	91.92945
21795	32.93222	38	91.92495
21796	32.89497	38	91.92045
21797	32.8577	38	91.91595
21798	32.82041	38	91.91145
21799	32.7831	38	91.90695
21800	32.74578	38	91.90245
21801	32.70843	38	91.89795
21802	32.67106	38	91.89345
21803	32.63368	38	91.88895
21804	32.59628	38	91.88445
21805	32.55886	38	91.87995
21806	32.52142	38	91.87545
21807	32.48396	38	91.87095
21808	32.44648	38	91.86645
21809	32.40898	38	91.86195
21810	32.37147	38	91.85745
21811	32.33394	38	91.85295
21812	32.29639	38	91.84845
21813	32.25882	38	91.84395
21814	32.22123	38	91.83945
21815	32.18363	38	91.83495
21816	32.14601	38	91.83045
21817	32.10837	38	91.82595
21818	32.07071	38	91.82145
21819	32.03304	38	91.81695
21820	31.99535	38	91.81245
21821	31.95764	38	91.80795
21822	31.91991	38	91.80345
21823	31.88217	38	91.79896
21824	31.84441	38	91.79446
21825	31.80663	38	91.78996
21826	31.76884	38	91.78546
21827	31.73103	38	91.78096
21828	31.6932	38	91.77646
21829	31.65536	38	91.771960000000007
21830	31.6175	38	91.76746
21831	31.57962	38	91.76296
21832	31.54173	38	91.75846
21833	31.50382	38	91.75396
21834	31.46589	38	91.74946
21835	31.42795	38	91.74496
21836	31.39	38	91.74046
21837	31.35202	38	91.73596
21838	31.31403	38	91.73146
21839	31.27603	38	91.72696
21840	31.23801	38	91.72246
21841	31.19998	38	91.71796
21842	31.16193	38	91.71346
21843	31.12386	38	91.70896
21844	31.08578	38	91.70446
21845	31.04769	38	91.69996
21846	31.00958	38	91.69546
21847	30.97145	38	91.69096
21848	30.93331	38	91.68646
21849	30.89516	38	91.68196
21850	30.85699	38	91.67746
21851	30.81881	38	91.67296
21852	30.78061	38	91.66846
21853	30.7424	38	91.66396
21854	30.70417	38	91.65946
21855	30.66593	38	91.65496
21856	30.62768	38	91.65046
21857	30.58941	38	91.64596
21858	30.55113	38	91.64146
21859	30.51283	38	91.63696
21860	30.47452	38	91.63246
21861	30.4362	38	91.62796
21862	30.39786	38	91.62346
21863	30.35951	38	91.61896
21864	30.32115	38	91.61446
21865	30.28278	38	91.60996
21866	30.24439	38	91.60546
21867	30.20599	38	91.60096
21868	30.16757	38	91.59646
21869	30.12914	38	91.59196
21870	30.0907	38	91.58746
21871	30.05225	38	91.58296
21872	30.01379	38	91.57846
21873	29.97531	38	91.57396
21874	29.93682	38	91.56946
21875	29.89832	38	91.56496
21876	29.8598	38	91.56046
21877	29.82128	38	91.55596
21878	29.78274	38	91.55146
21879	29.74419	38	91.54696
21880	29.70563	38	91.54246
21881	29.66706	38	91.53796
21882	29.62847	38	91.53346
21883	29.58988	38	91.52896
21884	29.55127	38	91.52446
21885	29.51265	38	91.51996
21886	29.47402	38	91.51546
21887	29.43538	38	91.51096
21888	29.39673	38	91.50646
21889	29.35807	38	91.50196
21890	29.3194	38	91.49746
21891	29.28071	38	91.49296
21892	29.24202	38	91.48846
21893	29.20331	38	91.48396
21894	29.1646	38	91.47946
21895	29.12587	38	91.47496
21896	29.08714	38	91.47046
21897	29.04839	38	91.46596
21898	29.00964	38	91.46146
21899	28.97087	38	91.45696
21900	28.9321	38	91.45246
21901	28.89331	38	91.44796
21902	28.85452	38	91.44346
21903	28.81571	38	91.43896
21904	28.7769	38	91.43446
21905	28.73808	38	91.42996
21906	28.69924	38	91.42546
21907	28.6604	38	91.42096
21908	28.62155	38	91.41646
21909	28.58269	38	91.41196
21910	28.54382	38	91.40746
21911	28.50495	38	91.40296
21912	28.46606	38	91.39847
